Reference,Location,U-Pb (Ma)
5,Africa,595
5,Africa,653
5,Africa,550
5,Africa,559
5,Africa,601
5,Africa,603
5,Africa,636
5,Africa,557
5,Africa,577
5,Africa,546
5,Africa,585
5,Africa,570
5,Africa,621
5,Africa,542
5,Africa,570
5,Africa,591
5,Africa,606
5,Africa,791
5,Africa,576
5,Africa,576
5,Africa,545
5,Africa,565
5,Africa,623
5,Africa,570
5,Africa,574
5,Africa,584
5,Africa,791
5,Africa,471
5,Africa,558
5,Africa,656
5,Africa,562
5,Africa,617
5,Africa,641
5,Africa,799
5,Africa,555
5,Africa,564
5,Africa,595
5,Africa,571
5,Africa,589
5,Africa,712
5,Africa,575
5,Africa,597
5,Africa,547
5,Africa,605
5,Africa,579
5,Africa,593
5,Africa,720
5,Africa,585
5,Africa,693
5,Africa,571
5,Africa,593
5,Africa,590
5,Africa,619
5,Africa,654
5,Africa,621
5,Africa,568
5,Africa,602
5,Africa,586
5,Africa,598
5,Africa,604
5,Africa,601
5,Africa,605
5,Africa,913
5,Africa,593
5,Africa,594
5,Africa,714
5,Africa,736
5,Africa,625
5,Africa,624
5,Africa,651
5,Africa,580
5,Africa,583
5,Africa,575
5,Africa,745
5,Africa,627
5,Africa,585
5,Africa,836
5,Africa,561
5,Africa,588
5,Africa,612
5,Africa,701
5,Africa,566
5,Africa,578
5,Africa,665
5,Africa,590
5,Africa,624
5,Africa,655
5,Africa,573
5,Africa,584
5,Africa,364
5,Africa,648
5,Africa,574
5,Africa,635
5,Africa,558
5,Africa,611
5,Africa,649
5,Africa,539
5,Africa,677
5,Africa,743
5,Africa,601
5,Africa,636
5,Africa,577
5,Africa,621
5,Africa,637
5,Africa,766
5,Africa,770
5,Africa,734
5,Africa,589
5,Africa,588
5,Africa,684
5,Africa,558
5,Africa,563
5,Africa,606
5,Africa,717
5,Africa,669
5,Africa,661
5,Africa,580
5,Africa,593
5,Africa,587
5,Africa,575
5,Africa,688
5,Africa,590
5,Africa,581
5,Africa,596
5,Africa,596
5,Africa,605
5,Africa,611
5,Africa,579
5,Africa,705
5,Africa,571
5,Africa,727
5,Africa,573
5,Africa,611
5,Africa,571
5,Africa,592
5,Africa,700
5,Africa,540
5,Africa,597
5,Africa,565
5,Africa,556
5,Africa,565
5,Africa,596
5,Africa,621
5,Africa,554
5,Africa,614
5,Africa,585
5,Africa,580
5,Africa,740
5,Africa,751
5,Africa,832
5,Africa,571
6,Europe,3486
6,Europe,3061
6,Europe,1982
6,Europe,2424
6,Europe,2814
6,Europe,1805
6,Europe,2181
6,Europe,1878
6,Europe,1795
6,Europe,1885
6,Europe,576
6,Europe,1102
6,Europe,808
6,Europe,594
6,Europe,972
6,Europe,572
6,Europe,551
6,Europe,508
6,Europe,602
6,Europe,471
6,Europe,506
6,Europe,475
6,Europe,455
6,Europe,538
6,Europe,873
6,Europe,766
6,Europe,679
6,Europe,626
6,Europe,670
6,Europe,487
6,Europe,556
6,Europe,549
7,S America,952
7,S America,1304
7,S America,1596
7,S America,952
7,S America,1213
7,S America,1039
7,S America,468
7,S America,477
7,S America,460
7,S America,445
7,S America,456
7,S America,748
7,S America,729
7,S America,644
8,S America,3311
8,S America,2621
8,S America,2519
8,S America,2439
8,S America,2311
8,S America,2066
8,S America,2157
8,S America,1662
8,S America,1689
8,S America,1543
8,S America,1472
8,S America,909
8,S America,1369
8,S America,922
8,S America,1518
8,S America,1447
8,S America,629
8,S America,1321
8,S America,1216
8,S America,1211
8,S America,564
8,S America,1189
8,S America,624
8,S America,995
8,S America,1377
8,S America,1345
8,S America,602
8,S America,1346
8,S America,483
8,S America,339
8,S America,1250
8,S America,1386
8,S America,657
8,S America,938
8,S America,398
8,S America,1065
8,S America,1000
8,S America,1105
8,S America,565
8,S America,1094
8,S America,505
8,S America,383
8,S America,1097
8,S America,1310
8,S America,1064
8,S America,970
8,S America,428
8,S America,401
8,S America,485
8,S America,483
8,S America,477
8,S America,638
8,S America,1103
8,S America,455
8,S America,479
8,S America,377
8,S America,457
8,S America,964
8,S America,516
8,S America,1050
8,S America,375
8,S America,796
8,S America,1159
8,S America,322
8,S America,964
8,S America,478
8,S America,425
8,S America,426
8,S America,436
8,S America,439
8,S America,491
8,S America,1118
8,S America,447
8,S America,447
8,S America,803
8,S America,420
8,S America,433
8,S America,462
8,S America,482
8,S America,950
8,S America,820
8,S America,434
8,S America,450
8,S America,424
8,S America,1109
8,S America,440
8,S America,333
8,S America,596
8,S America,325
8,S America,548
8,S America,735
8,S America,328
8,S America,365
8,S America,284
8,S America,347
8,S America,366
8,S America,525
8,S America,319
8,S America,254
8,S America,310
8,S America,504
8,S America,713
8,S America,606
8,S America,298
8,S America,320
8,S America,461
8,S America,630
8,S America,305
8,S America,313
8,S America,334
9,Africa,2567
9,Africa,2154
9,Africa,2582
9,Africa,2375
9,Africa,3235
9,Africa,1964
9,Africa,2149
9,Africa,2567
9,Africa,2903
9,Africa,2703
9,Africa,2577
9,Africa,1063
9,Africa,2642
9,Africa,2888
9,Africa,2890
9,Africa,2863
9,Africa,2876
9,Africa,2622
9,Africa,2641
9,Africa,2794
9,Africa,2901
9,Africa,2854
9,Africa,2656
9,Africa,2898
9,Africa,2611
9,Africa,2066
9,Africa,2074
9,Africa,2391
9,Africa,2621
9,Africa,2624
9,Africa,2581
9,Africa,1267
9,Africa,2049
9,Africa,1775
9,Africa,1058
9,Africa,508
9,Africa,1008
9,Africa,499
9,Africa,624
9,Africa,579
9,Africa,1072
9,Africa,1439
9,Africa,961
9,Africa,1026
9,Africa,1447
9,Africa,824
9,Africa,532
9,Africa,923
9,Africa,831
9,Africa,699
9,Africa,593
9,Africa,496
9,Africa,605
9,Africa,669
9,Africa,616
9,Africa,1040
9,Africa,866
9,Africa,1021
9,Africa,589
9,Africa,625
9,Africa,729
9,Africa,738
9,Africa,631
9,Africa,850
9,Africa,855
9,Africa,680
9,Africa,564
9,Africa,535
9,Africa,588
9,Africa,547
9,Africa,620
10,Europe,1594
10,Australia,3729
10,Australia,3470
10,Australia,3652
10,Australia,3777
10,Australia,3499
10,Australia,3398
10,Asia,2495
10,Australia,3461
10,Australia,3517
10,Australia,3583
10,Australia,3399
10,Australia,3383
10,S America,3612
10,Australia,3327
10,Asia,3644
10,Australia,3717
10,Australia,3470
10,Europe,1599
10,S America,3166
10,Asia,3637
10,Asia,3173
10,Australia,3352
10,S America,3661
10,Australia,3277
10,S America,3366
10,Australia,3308
10,Europe,1503
10,Australia,3481
10,S America,3370
10,S America,3368
10,Australia,3436
10,Australia,3250
10,Asia,3328
10,Asia,3338
10,Asia,3474
10,S America,2940
10,Australia,3266
10,S America,3375
10,Australia,3245
10,Australia,3573
10,Australia,3493
10,S America,2876
10,Australia,3292
10,Australia,3299
10,Australia,2825
10,Asia,2186
10,Australia,2749
10,Australia,3343
10,S America,3461
10,Asia,3432
10,S America,3408
10,Australia,3303
10,Europe,2650
10,Australia,3335
10,S America,3364
10,S America,3468
10,S America,3450
10,S America,3100
10,S America,3349
10,S America,3352
10,S America,3313
10,Australia,2243
10,Australia,3425
10,Australia,3262
10,S America,3333
10,Australia,3002
10,S America,3342
10,Australia,3179
10,S America,3180
10,Asia,3364
10,Australia,3315
10,S America,2695
10,Asia,3311
10,S America,3513
10,S America,3500
10,Australia,3275
10,Asia,3477
10,S America,3355
10,Australia,3360
10,S America,3450
10,S America,3450
10,S America,3405
10,S America,3450
10,Australia,3246
10,Asia,3425
10,Asia,3333
10,S America,2912
10,Asia,2531
10,Australia,3127
10,Australia,3190
10,S America,3282
10,Australia,3309
10,Australia,2588
10,S America,1915
10,Australia,3251
10,S America,2944
10,Australia,2874
10,S America,2786
10,Europe,3186
10,Australia,3031
10,S America,2852
10,Australia,3295
10,Australia,3352
10,S America,3185
10,S America,3661
10,S America,3015
10,Australia,3291
10,S America,2891
10,S America,2532
10,Asia,3301
10,S America,2938
10,Australia,2829
10,Australia,3061
10,Asia,3391
10,S America,2847
10,S America,2903
10,Australia,3505
10,S America,3000
10,S America,3500
10,S America,2876
10,Australia,3351
10,S America,3433
10,S America,2909
10,S America,3054
10,S America,2844
10,S America,3032
10,Asia,3345
10,Asia,3367
10,S America,3307
10,S America,3450
10,S America,2816
10,S America,3450
10,S America,2897
10,Australia,3327
10,S America,2837
10,Australia,3220
10,S America,3000
10,S America,2869
10,Australia,3143
10,Asia,3205
10,S America,3450
10,S America,2666
10,Australia,3232
10,Asia,3302
10,S America,3322
10,S America,2827
10,S America,3059
10,S America,2752
10,Europe,2738
10,S America,3500
10,S America,3000
10,S America,2821
10,Australia,3008
10,S America,2966
10,Australia,2720
10,S America,3500
10,S America,2813
10,Africa,3059
10,S America,2763
10,S America,2837
10,S America,3000
10,Asia,3280
10,Australia,3136
10,Asia,3211
10,S America,2849
10,S America,3000
10,S America,3321
10,Asia,3267
10,Asia,3276
10,Asia,3257
10,S America,3450
10,Asia,3210
10,S America,2847
10,Australia,3543
10,Australia,3231
10,S America,2797
10,Asia,3147
10,S America,2843
10,S America,3000
10,Asia,3148
10,Asia,3339
